Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
bag-of-fucks-i-have-to-give-candies-display-of-100,"""Bag of Fucks I Have to Give"" candies Display of 100","Introducing the Bag of Fucks I Have to Give candy because sometimes you just need a little humor to sweeten your day! Get this POP display with 100 mini-packs marked for individual sale; these fruit-flavored middle fingers are here to make a statement. Perfect for when you want to express how much you care—without saying a word. Whether treating yourself or gifting it to a friend who could use a laugh, this candy will surely be a conversation starter. Grab your Bag of Fucks I Have to Give today and savor the taste of not giving a damn!",Little Genie Productions,,Candy/Games/Novelt,"BFCM2025, Dropshipping Enabled, edibles, Little Genie",TRUE,Title,Default Title,,,,,LGCP.1216,0,shopify,11,deny,manual,35.5,,TRUE,TRUE,817717012161,https://cdn.shopify.com/s/files/1/0280/7598/2985/files/lgCP.1216a.jpg?v=1748649395,1,,FALSE,active
bag-of-fucks-i-have-to-give-candies-display-of-100,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0280/7598/2985/files/lgCP.1216.jpg?v=1748649395,2,,,
bag-of-fucks-i-have-to-give-candies-display-of-100,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0280/7598/2985/files/lgCP.1216b.jpg?v=1748649389,3,,,
rain-of-love-g-spot-arousal-cream-rain-of-love,"""Rain of Love"" G-Spot Arousal Cream - ""Rain of Love""","<h2>DESCRIPTION</h2>
<p>Did you ever dream of an ultimate orgasm? The Rain of Love G-Spot Arousal Cream comes with an illustrated guide inside. It gives you concise and simple tips on how to discover your G-Spot and find the road to the ultimate pleasure!!</p>",Shunga,,Enhancements M/F,"BFCM2025, Dropshipping Enabled, made-in-canada, V-Day-2026, Women’s Enhancement",TRUE,Title,Default Title,,,,,SH7500,0,shopify,0,deny,manual,18.5,,TRUE,TRUE,697309075008,https://cdn.shopify.com/s/files/1/0280/7598/2985/files/2d668087-5d20-4590-b4b1-2e7966d09485.png?v=1746747468,1,,FALSE,active
babe-doll-pink-sunburst-pasties,Babe' Doll Pink Sunburst Pasties,"<p>Introducing 'Babe' Doll Pink Sunburst nipple pasties! These fun and flirty pasties are designed in the style of everyone's favorite doll. With their bright pink color and sunburst shape, they're sure to make a statement and add pop to any outfit. Made from soft and comfortable materials, Pastease pasties are gentle on your skin and can be worn for hours without discomfort. The medical-grade adhesive backing ensures that they stay securely in place, even during high-energy activities like dancing or jazzercising. Plus, they're waterproof and sweatproof, so you can wear them with confidence in any situation. Perfect for festivals, parties, play or just to celebrate YOU, the 'Babe' Pink Sunburst nipple pasties are peel &amp; stick fun that will help you express your unique style and Barbie-girl personality. So why wait, gurl? Add a touch of glamor doll to your wardrobe today with Pastease's 'Babe' Pink Sunburst nipple pasties! Dimensions: 3 X 2.8"" Coverage: 2""</p>",Pastease Pasties,,Pasties,"Dropshipping Enabled, nipple-25, Pastease Pasties, pasty",TRUE,Title,Default Title,,,,,PTSUN-BABE,0,shopify,31,deny,manual,7.25,,TRUE,TRUE,792264878906,https://cdn.shopify.com/s/files/1/0280/7598/2985/files/PTSUN-BABE.png?v=1746482684,1,,FALSE,active
babe-doll-pink-sunburst-pasties,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0280/7598/2985/files/PTSUN-BABEA.png?v=1746482684,2,,,
babe-doll-pink-sunburst-pasties,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0280/7598/2985/files/PTSUN-BABEB.jpg?v=1746482684,3,,,
babe-doll-pink-sunburst-pasties,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0280/7598/2985/files/PTSUN-BABEC.png?v=1746482684,4,,,
bride-doll-pasties-pink-iconic-heart,Bride' Doll Pasties Pink Iconic Heart,"Introducing 'Bride' Doll Pastease: Embrace Your Inner Icon with Timeless Elegance!<br><br>Elevate your bridal ensemble and bachelorette night with our 'Bride' Pastease – a fun celebration of love and femininity that pays homage to the spirit of America's favorite doll. With the iconic pink and white lettering, these nipple covers by Pastease are a symbol of grace and charm that perfectly complement your special day.<br><br>Dimensions: 3"" x 2.5""<br>Coverage: 1.8""<br>Timeless Barbie-style Lettering: Evoke a sense of nostalgia and classic charm with the 'Bride' lettering. The pink and white hues capture the essence of being that type of girl in that type of world.<br><br>Curves and Comfort: Crafted from a soft poly blend material, our breast pasties are designed to form seamlessly to your curves, ensuring a comfortable and secure fit that complements your natural beauty.<br><br>A Bridal Must-Have: Perfect for bachelorette parties, bridal showers, and as a playful accessory beneath your gown, these Pastease add a touch of flirtatious elegance to your journey to the altar.<br><br>Celebrate the Iconic: With a nod to America's favorite doll, these Pastease capture the essence of timeless femininity, allowing you to step into the role of the radiant bride you've always dreamed of being.<br><br>Versatile Beauty: Beyond the big day, these Pastease can accompany you on honeymoon getaways, romantic date nights, or any moment when you want to embrace your inner elegance.<br><br>Own Your Iconic Moment: The 'Bride' Pastease aren't just a breast accessory; they're a reflection of your journey as you embark on the new chapter in love and partnership you always dreamed of.<br><br>Radiate beauty, grace, and charm on your special day with our 'Bride' Pastease – an homage to timeless elegance that lets you embrace your inner icon. Get yours today and step into the spotlight with confidence and grace.",Pastease Pasties,,Pasties,"BFCM2025, Dropshipping Enabled, nipple-25, pastease-pasties, pasty",TRUE,Title,Default Title,,,,,PT-HRT-BRID,0,shopify,5,deny,manual,7.25,,TRUE,TRUE,792264879057,https://cdn.shopify.com/s/files/1/0280/7598/2985/files/pt-hrt-brid.png?v=1703801824,1,,FALSE,active
bride-doll-pasties-pink-iconic-heart,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0280/7598/2985/files/pt-hrt-bridb.png?v=1703801832,2,,,
