Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
boy-butter-10th-anniversary-edition-gold-label,10th Anniversary Edition - Gold Label,"<p><strong>DESCRIPTION:</strong></p>
<p>Boy Butter 10th Anniversary Edition is a 16 oz golden gift to the connoisseurs of fine personal lubricants. Back in 2003 Boy Butter began and this is celebratory collectors item with the classic original coconut based formula you know and love. Boy Butter lasts as silicone lubricant yet washes off with water alone from both skin and fabric. Gentle, multipurpose and safe on all toys.<br><br>Plus, a portion of the proceeds of Boy Butter Gold goes to global reforestation projects, so it is as green as it is gold.</p>
<ul>
<li>Safe for Men, Women, Everyone</li>
<li>Edible, Long Lasting, Washable</li>
<li>Silicone Toy and Fabric Safe</li>
<li>Oil-Based Not Latex Compatible</li>
</ul>
<p> </p>
<p><br><strong>INGREDIENTS:</strong></p>
<p>Partially Hydrogenated Vegetables Oils, Glycerin, Polysorbate 60, Tocopheryl Acetate, Glyceryl Stearate, Phenyl Trimethicone</p>",Boy Butter,,Other,"Coconut Lubes, Dropshipping Enabled, SE23",TRUE,Title,Default Title,,,,,BBGOLD,0,shopify,25,deny,manual,29.95,29.95,TRUE,TRUE,855951000100,https://cdn.shopify.com/s/files/1/0420/7699/5750/products/boy_butter-145_1024x1024_46e3509f-c8fe-4163-97ff-3af869c97434.png?v=1656530434,1,,FALSE,active
25pc-display-with-5-of-each-2oz-fragrance-beach-daze-high-tide-moroccan-nag-champa-isle-of-yo,"25pc Display with 5 of each 2oz Fragrance   Beach Daze, High Tide, Moroccan, Nag Champa & Isle of You","<p>100% natural blend of skin oils including Hemp Almond Grapeseed Apricot and Vitamin E provides a slick professional glide.</p>
<p>Moisturizes and conditions skin without any greasy residue. 25 2-oz. bottles. 5 of each type: Beach Daze, High Tide, Moroccan, Nag Champa &amp; Isle of Yo</p>",Earthly Body,,Lubes,"Display, Displays, Dropshipping Enabled, Massage Oils",TRUE,Title,Default Title,,,,,EB291,0,shopify,4,deny,manual,94,94,TRUE,TRUE,879959004649,https://cdn.shopify.com/s/files/1/0420/7699/5750/files/eb290--a_1d120d1a-50f8-4631-9548-0196707d9e3e.jpg?v=1729726587,1,,FALSE,active
wet®-3-pack-sampler-1oz-essential95-platinum-strawberry-1-fl-oz-30ml-x-3,"3 PACK SAMPLER (1OZ ESSENTIAL95, PLATINUM, STRAWBERRY) 1 Fl. Oz./30mL x 3","<ul class=""a-unordered-list a-vertical a-spacing-mini"" data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1"">Variety Pack: 3 pack sampler</span></li>
<li data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1"">Wet Essential95</span></li>
<li data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1"">Wet Platinum</span></li>
<li data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1"">Wet Flavored</span></li>
<li data-mce-fragment=""1""><span class=""a-list-item"" data-mce-fragment=""1"">Made In The USA: Manufactured by Trigg Laboratories, Formulated in a cGMP compliant laboratory. Manufacturer trusted for over 30 years. Packaging may vary. The look of the bottle has been updated, but this lube still contains the same premium high-quality ingredients as before.</span></li>
</ul>",Wet,,Other,"BFCM2025, Dropshipping Enabled, Flavoured Lubes, Sensation Play, Silicone-Based Lubes, Water-Based Lubes",FALSE,Title,Default Title,,,,,WT1001,0,shopify,0,deny,manual,13.45,13.45,TRUE,TRUE,716222216265,https://cdn.shopify.com/s/files/1/0420/7699/5750/products/essential95-render-no-reflection.png?v=1646854782,1,,FALSE,draft
je-joue-3-pack-silicone-c-rings,3 Pack Silicone C-rings,"<h2><strong>DESCRIPTION:</strong></h2>
<p><strong>Je Joue Silicone Cock Ring 3 Pack</strong>, these luxury silicone cock rings will keep you harder for longer and prolong your orgasms. So easy to put on, and stretchy enough to be put on at any time – even after you already have an erection.<br><br></p>
<ul>
<li>3 Stretchable cock ring</li>
<li>High grade silicone</li>
<li>Helps stronger erection and delayed ejac</li>
<li>Snug comfortable fit</li>
<li>Non-slip design</li>
<li>Phthalate free</li>
</ul>
<p><br>This super-soft silicone feels great next to the skin, while the unique non-slip design keeps the ring in place throughout your playtime. The level of stretch is less about the size of your penis, but more about the level of intensity you’re looking for. The maximum level of stretch is great for new users, those with more girth, and those looking to use the ring around both the penis and testicles.</p>",Je Joue,,Other,"_label_BEST, Accessories, Best Sellers, Cock Rings, Dropshipping Enabled",TRUE,Title,Default Title,,,,,JE803,0,shopify,119,deny,manual,10.95,10.95,TRUE,TRUE,5060170972229,https://cdn.shopify.com/s/files/1/0420/7699/5750/products/7358-3053-5060170972229.jpg?v=1641840450,1,,FALSE,active
je-joue-3-pack-silicone-c-rings,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0420/7699/5750/products/7358-3053-5060170972229-1.jpg?v=1641840451,2,,,
3-in-1-massage-candle-dreamsicle-6-oz-170-g,3-in-1 Massage Candle Dreamsicle 6 oz / 170 g,"<p>Set a calming ambiance and enjoy a relaxing massage with a single product. Our unique candles melt into a warm massage oil that gently absorbs into the skin, leaving it well moisturized and feeling silky soft.</p>
<h4>KEY BENEFITS:</h4>
<ul>
<li>Nourishes and protects the skin</li>
<li>Delivers hydration and long-lasting moisture</li>
<li>Soothes dry and parched skin</li>
<li>Adds a calming ambiance to any room</li>
</ul>
<p>SIZE: 6 oz </p>
<p> </p>",Earthly Body,,Lubes,"Dropshipping Enabled, Flavoured Lubes, Massage Candles, Water-Based Lubes",TRUE,Title,Default Title,,,,,EB426,0,shopify,19,deny,manual,10.15,10.15,TRUE,TRUE,814487020433,https://cdn.shopify.com/s/files/1/0420/7699/5750/files/eb426-a.png?v=1699046879,1,,FALSE,active
3-in-1-massage-candle-dreamsicle-6-oz-170-g,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0420/7699/5750/files/eb426-b.png?v=1699046883,2,,,
3-in-1-massage-candle-guavalava-6-oz-170-g,3-in-1 Massage Candle Guavalava 6 oz / 170 g,"<p>Set a calming ambiance and enjoy a relaxing massage with a single product. Our unique candles melt into a warm massage oil that gently absorbs into the skin, leaving it well moisturized and feeling silky soft.</p>
<h4>KEY BENEFITS:</h4>
<ul>
<li>Nourishes and protects the skin</li>
<li>Delivers hydration and long-lasting moisture</li>
<li>Soothes dry and parched skin</li>
<li>Adds a calming ambiance to any room</li>
</ul>
<p>SIZE: 6 oz</p>
<p> </p>",Earthly Body,,Lubes,"Dropshipping Enabled, Massage Candles",TRUE,Title,Default Title,,,,,EB446,0,shopify,21,deny,manual,10.15,10.15,TRUE,TRUE,879959008463,https://cdn.shopify.com/s/files/1/0420/7699/5750/files/eb446-a.png?v=1699093036,1,,FALSE,active
3-in-1-massage-candle-guavalava-6-oz-170-g,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0420/7699/5750/files/eb446-b.png?v=1699093040,2,,,
3-in-1-massage-candle-isle-of-you-6-oz-170-g,3-in-1 Massage Candle Isle of You 6 oz / 170 g,"<p>Set a calming ambiance and enjoy a relaxing massage with a single product. Our unique candles melt into a warm massage oil that gently absorbs into the skin, leaving it well moisturized and feeling silky soft.</p>
<h4>KEY BENEFITS:</h4>
<ul>
<li>Nourishes and protects the skin</li>
<li>Delivers hydration and long-lasting moisture</li>
<li>Soothes dry and parched skin</li>
<li>Adds a calming ambiance to any room</li>
</ul>
<p>SIZE: 6 oz</p>
<p> </p>",Earthly Body,,Lubes,"Dropshipping Enabled, Massage Candles",TRUE,Title,Default Title,,,,,EB436,0,shopify,0,deny,manual,10.15,10.15,TRUE,TRUE,814487021607,https://cdn.shopify.com/s/files/1/0420/7699/5750/files/eb436-a.png?v=1699046836,1,,FALSE,active
3-in-1-massage-candle-isle-of-you-6-oz-170-g,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0420/7699/5750/files/eb436-b.png?v=1699046840,2,,,
3-in-1-massage-candle-kashmir-musk-6-oz-170-g,3-in-1 Massage Candle Kashmir Musk 6 oz / 170 g,"<p>Set a calming ambiance and enjoy a relaxing massage with a single product. Our unique candles melt into a warm massage oil that gently absorbs into the skin, leaving it moisturized and silky soft.</p>
<h4>KEY BENEFITS:</h4>
<ul>
<li>Nourishes and protects the skin</li>
<li>Delivers hydration and long-lasting moisture</li>
<li>Soothes dry and parched skin</li>
<li>Adds a calming ambiance to any room</li>
</ul>
<p>SIZE: 6 oz</p>
<p>SCENT: Kashmir Musk (Brandy, Magnolia, Vanilla Musk)</p>
<p> </p>",Earthly Body,,Lubes,"Dropshipping Enabled, Massage Candles",TRUE,Title,Default Title,,,,,EB456,0,shopify,0,deny,manual,10.15,10.15,TRUE,TRUE,810040295034,https://cdn.shopify.com/s/files/1/0420/7699/5750/files/eb456-a.png?v=1699046738,1,,FALSE,active
3-in-1-massage-candle-kashmir-musk-6-oz-170-g,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0420/7699/5750/files/eb456-b.png?v=1699046741,2,,,
hemp-seed-3-in-1-massage-candle-naked-in-the-woods-6-oz-170-g,3-in-1 Massage Candle Naked in the Woods 6 oz / 170 g,"<p>Set a calming ambiance and enjoy a relaxing massage with a single product. Our unique candles melt into a warm massage oil that gently absorbs into the skin, leaving it well moisturized and feeling silky soft.</p>
<h4>KEY BENEFITS:</h4>
<ul>
<li>Nourishes and protects the skin</li>
<li>Delivers hydration and long-lasting moisture</li>
<li>Soothes dry and parched skin</li>
<li>Adds a calming ambiance to any room</li>
</ul>",HEMP SEED,,Lubes,"BFCM2025, Dropshipping Enabled, Massage Candles, Massage Oils",TRUE,Title,Default Title,,,,,EB416,0,shopify,15,deny,manual,10.2,10.2,TRUE,TRUE,814487020488,https://cdn.shopify.com/s/files/1/0420/7699/5750/files/eb416-a.png?v=1699085462,1,,FALSE,active
hemp-seed-3-in-1-massage-candle-skinny-dip-6-oz-170-g,3-in-1 Massage Candle Skinny Dip 6 oz / 170 g,"<p>Set a calming ambiance and enjoy a relaxing massage with a single product. Our unique candles melt into a warm massage oil that gently absorbs into the skin, leaving it well moisturized and feeling silky soft.</p>
<h4>KEY BENEFITS:</h4>
<ul>
<li>Nourishes and protects the skin</li>
<li>Delivers hydration and long-lasting moisture</li>
<li>Soothes dry and parched skin</li>
<li>Adds a calming ambiance to any room</li>
</ul>",HEMP SEED,,Lubes,"BFCM2025, Dropshipping Enabled, Massage Candles, Massage Oils",TRUE,Title,Default Title,,,,,EB406,0,shopify,10,deny,manual,10.85,10.85,TRUE,TRUE,814487020471,https://cdn.shopify.com/s/files/1/0420/7699/5750/files/eb406-a.png?v=1699085975,1,,FALSE,active
3-in-1-massage-candle-zen-berry-rose-6-oz-170-g,3-in-1 Massage Candle Zen Berry Rose 6 oz / 170 g,"<p>Set a calming ambiance and enjoy a relaxing massage with a single product. Our unique candles melt into a warm massage oil that gently absorbs into the skin, leaving it moisturized and silky soft.</p>
<h4>KEY BENEFITS:</h4>
<ul>
<li>Nourishes and protects the skin</li>
<li>Delivers hydration and long-lasting moisture</li>
<li>Soothes dry and parched skin</li>
<li>Adds a calming ambiance to any room</li>
</ul>
<p>SIZE: 6 oz</p>
<p>SCENT: Zen Berry Rose (Blackberry, Yellow Rose, Amber)</p>
<p> </p>",HEMP SEED,,Lubes,"BFCM2025, Dropshipping Enabled, Massage Candles",TRUE,Title,Default Title,,,,,EB466,0,shopify,28,deny,manual,10.15,10.15,TRUE,TRUE,810040295041,https://cdn.shopify.com/s/files/1/0420/7699/5750/files/eb466-a.png?v=1699084850,1,,FALSE,active
3-in-1-massage-candle-zen-berry-rose-6-oz-170-g,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0420/7699/5750/files/eb466-c.png?v=1699093865,2,,,
3-in-1-massage-candle-zen-berry-rose-6-oz-170-g,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0420/7699/5750/files/eb466-b.png?v=1699093865,3,,,
32oz-gel-pump-slippery-stuff,32oz GEL Pump Slippery Stuff,"<p><strong>Slippery Stuff Personal Lubricant Gel</strong>, our Gel formula (blue label) was developed for use in the medical community and is specifically designed to stay where you put it. For over two decades medical professionals, sex therapists and women’s health professionals have recommended Slippery Stuff Gel to their patients, knowing it’s a healthier choice of lubrication.<br><br></p>
<ul>
<li>Glycerin-Free Eliminates dryness Silky</li>
<li>Safe and long lasting</li>
<li>Enhances the pleasure of human contact</li>
<li>water based and water soluble</li>
<li>Safe and hygienic</li>
<li>Odorless</li>
<li>Non-staining, and long lasting</li>
</ul>
<p><br>If you have sensitivities to other lubricants, try Slippery Stuff gel lubricant or our new brand new Extra-Sensitive gel formula. You won’t be disappointed.<br><br>Available in 1oz, 2oz, 4oz, 8oz, 16oz, or 32oza</p>",Slippery Stuff,,Other,"_label_BEST, Best Sellers, BFCM2025, Dropshipping Enabled, Water-Based Lubes",TRUE,Title,Default Title,,,,,W3230,0,shopify,802,deny,manual,33.95,33.95,TRUE,TRUE,740805228321,https://cdn.shopify.com/s/files/1/0420/7699/5750/files/366ebd57-dbd8-4bb2-bf2f-be7335caa83d.png?v=1741889057,1,,FALSE,active
